dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,f1,accuracy,final_loss,best_loss
german_credit,L1_linear,7,RandomForest,0.25,1,linear,single,9,18,8,0.7207207207207207,0.5866666666666667,0.7818728315634496,0.7491281905453262
german_credit,L1_linear,7,XGBoost_stub,0.25,1,linear,single,9,18,8,0.4406779661016949,0.45,0.7818728315634496,0.7491281905453262
german_credit,L1_linear,7,MLP,0.25,1,linear,single,9,18,8,0.7780040733197556,0.6366666666666667,0.7818728315634496,0.7491281905453262
german_credit,L1_linear,17,RandomForest,0.25,1,linear,single,9,18,8,0.0483091787439613,0.3433333333333333,0.6105318293317205,0.6105318293317205
german_credit,L1_linear,17,XGBoost_stub,0.25,1,linear,single,9,18,8,0.5196374622356495,0.47,0.6105318293317205,0.6105318293317205
german_credit,L1_linear,17,MLP,0.25,1,linear,single,9,18,8,0.064516129032258,0.3233333333333333,0.6105318293317205,0.6105318293317205
german_credit,L1_linear,27,RandomForest,0.25,1,linear,single,9,18,8,0.5325077399380805,0.4966666666666666,0.49058849908881,0.49058849908881
german_credit,L1_linear,27,XGBoost_stub,0.25,1,linear,single,9,18,8,0.5539358600583091,0.49,0.49058849908881,0.49058849908881
german_credit,L1_linear,27,MLP,0.25,1,linear,single,9,18,8,0.7975951903807615,0.6633333333333333,0.49058849908881,0.49058849908881
german_credit,L2_linear,7,RandomForest,0.25,2,linear,single,9,36,16,0.5357142857142857,0.48,0.6506634335745951,0.6506634335745951
german_credit,L2_linear,7,XGBoost_stub,0.25,2,linear,single,9,36,16,0.5357142857142857,0.48,0.6506634335745951,0.6506634335745951
german_credit,L2_linear,7,MLP,0.25,2,linear,single,9,36,16,0.7780040733197556,0.6366666666666667,0.6506634335745951,0.6506634335745951
german_credit,L2_linear,17,RandomForest,0.25,2,linear,single,9,36,16,0.7563025210084033,0.6133333333333333,0.59342859712516,0.59342859712516
german_credit,L2_linear,17,XGBoost_stub,0.25,2,linear,single,9,36,16,0.5105105105105106,0.4566666666666666,0.59342859712516,0.59342859712516
german_credit,L2_linear,17,MLP,0.25,2,linear,single,9,36,16,0.0193236714975845,0.3233333333333333,0.59342859712516,0.59342859712516
german_credit,L2_linear,27,RandomForest,0.25,2,linear,single,9,36,16,0.2570281124497992,0.3833333333333333,0.5784135718919184,0.5784135718919184
german_credit,L2_linear,27,XGBoost_stub,0.25,2,linear,single,9,36,16,0.3407407407407407,0.4066666666666667,0.5784135718919184,0.5784135718919184
german_credit,L2_linear,27,MLP,0.25,2,linear,single,9,36,16,0.7975951903807615,0.6633333333333333,0.5784135718919184,0.5784135718919184
german_credit,L1_all_to_all,7,RandomForest,0.25,1,all_to_all,single,9,18,36,0.256,0.38,0.6356728026155498,0.6356728026155498
