dataset,configuration,seed,model,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,attribute,spd,eod,aod,trace_distance_input,qsp_diff_output,is_bias_pair_candidate
german_credit,L1_linear,7,RandomForest,0.25,1,linear,single,9,18,8,age,-0.1581699346405228,-0.1823529411764706,-0.158578431372549,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,RandomForest,0.25,1,linear,single,9,18,8,sex,-0.1475752508361203,-0.1538359788359787,-0.1450306225991157,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,RandomForest,0.25,1,linear,single,9,18,8,overall,-0.1645136778115501,-0.1760683760683761,-0.1609580040945861,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,XGBoost_stub,0.25,1,linear,single,9,18,8,age,0.1464052287581699,0.2218487394957983,0.1533263305322128,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,XGBoost_stub,0.25,1,linear,single,9,18,8,sex,0.1080685618729097,0.1277777777777777,0.1028919330289193,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,XGBoost_stub,0.25,1,linear,single,9,18,8,overall,0.1542553191489361,0.166056166056166,0.1544076300424962,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,MLP,0.25,1,linear,single,9,18,8,age,0.0,0.0,0.0,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,MLP,0.25,1,linear,single,9,18,8,sex,0.0,0.0,0.0,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,7,MLP,0.25,1,linear,single,9,18,8,overall,0.0,0.0,0.0,0.3283948198921737,0.0043006673797033,False
german_credit,L1_linear,17,RandomForest,0.25,1,linear,single,9,18,8,age,0.0318725099601593,0.028735632183908,0.0338483355724735,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,RandomForest,0.25,1,linear,single,9,18,8,sex,0.0219394003940571,0.0333333333333333,0.0205601092896174,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,RandomForest,0.25,1,linear,single,9,18,8,overall,0.02830547112462,0.0367647058823529,0.0274090405392926,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,XGBoost_stub,0.25,1,linear,single,9,18,8,age,0.0868363281567606,-0.0089655172413793,0.1029306612927302,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,XGBoost_stub,0.25,1,linear,single,9,18,8,sex,0.0664572128441343,0.1672108843537414,0.0467201962752313,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,XGBoost_stub,0.25,1,linear,single,9,18,8,overall,0.0609802431610941,0.098155929038282,0.0553573993700044,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,MLP,0.25,1,linear,single,9,18,8,age,-0.0014635336206195,0.0402298850574712,0.0095629944767875,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,MLP,0.25,1,linear,single,9,18,8,sex,0.0214068906757548,0.0466666666666666,0.0307103825136612,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,17,MLP,0.25,1,linear,single,9,18,8,overall,0.0245060790273556,0.0514705882352941,0.0324071936466894,0.0199522713621637,0.0052826278431624,False
german_credit,L1_linear,27,RandomForest,0.25,1,linear,single,9,18,8,age,-0.0669973168550289,-0.0592292089249493,-0.0756022587834623,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,RandomForest,0.25,1,linear,single,9,18,8,sex,-0.1631609776878427,-0.2319444444444444,-0.1427500975514583,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,RandomForest,0.25,1,linear,single,9,18,8,overall,-0.1240501519756838,-0.1593088071348941,-0.1165429360453941,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,XGBoost_stub,0.25,1,linear,single,9,18,8,age,-0.1336694040165867,-0.0870182555780932,-0.1462869055668244,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,XGBoost_stub,0.25,1,linear,single,9,18,8,sex,-0.1642259971244475,-0.2699494949494949,-0.1240002084053883,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,XGBoost_stub,0.25,1,linear,single,9,18,8,overall,-0.1743920972644377,-0.2231884057971014,-0.1548981323291842,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,MLP,0.25,1,linear,single,9,18,8,age,0.0,0.0,0.0,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,MLP,0.25,1,linear,single,9,18,8,sex,0.0,0.0,0.0,0.0333144507455885,0.0001098036387632,False
german_credit,L1_linear,27,MLP,0.25,1,linear,single,9,18,8,overall,0.0,0.0,0.0,0.0333144507455885,0.0001098036387632,False
german_credit,L2_linear,7,RandomForest,0.25,2,linear,single,9,36,16,age,0.0980392156862745,0.2084033613445378,0.1071428571428571,0.223431858253215,0.0056946970031382,False
