dataset,configuration,seed,batch_frac,n_layers,entangle,encoding_strategy,n_qubits,n_params,cnot_count,gate_group,svqx_value,svqx_concentration,entanglement_score,qsalto_a1_estimate
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_0_rot,0.0,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_1_rot,0.0,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_2_rot,0.0597402597402597,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_3_rot,-0.0735930735930735,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_4_rot,-0.0319264069264069,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_5_rot,-0.0251082251082251,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_6_rot,0.0074675324675324,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_7_rot,-0.0523809523809523,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,qubit_8_rot,0.0,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,7,0.25,1,linear,single,9,18,8,entangling_CNOT,-0.1796536796536797,0.417925478347467,0.3037596593616269,-0.0422821044921875
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_0_rot,0.0,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_1_rot,0.0,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_2_rot,0.0129629629629629,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_3_rot,-0.0259259259259259,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_4_rot,-0.024074074074074,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_5_rot,1.1102230246251564e-17,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_6_rot,0.05,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_7_rot,-0.0555555555555555,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,qubit_8_rot,0.0,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,17,0.25,1,linear,single,9,18,8,entangling_CNOT,-0.124074074074074,0.4240506329099431,0.3775845152672207,-0.039459228515625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_0_rot,0.0,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_1_rot,0.0,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_2_rot,-0.0119047619047619,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_3_rot,0.0625,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_4_rot,5.286776307738841e-19,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_5_rot,5.286776307738841e-19,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_6_rot,5.286776307738841e-19,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_7_rot,-0.1339285714285709,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,qubit_8_rot,0.0,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L1_linear,27,0.25,1,linear,single,9,18,8,entangling_CNOT,0.0119047619047618,0.608108108105346,0.2906261849143339,-0.0427398681640625
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_0_rot,-0.0099837662337662,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_1_rot,-0.0233766233766233,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_2_rot,0.0943001443001443,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_3_rot,-0.0762536075036075,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_4_rot,-0.0005321067821067,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_5_rot,0.0043740981240981,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_6_rot,-0.004788961038961,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_7_rot,-0.0723575036075039,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,qubit_8_rot,-0.0135642135642135,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,7,0.25,2,linear,single,9,36,16,entangling_CNOT,-0.1932720057720056,0.3921891585219518,0.3577422489762312,-0.039886474609375
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_0_rot,0.0018959435626102,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_1_rot,0.0417548500881834,0.3449275362309389,0.4013395368026707,-0.0388870239257812
german_credit,L2_linear,17,0.25,2,linear,single,9,36,16,qubit_2_rot,-0.0319664902998236,0.3449275362309389,0.4013395368026707,-0.0388870239257812
