overall,Frequency,Dataset
0,408,german_credit_generated_L1_all_to_all_seed17
1,292,german_credit_generated_L1_all_to_all_seed17
0,420,german_credit_generated_L1_all_to_all_seed27
1,280,german_credit_generated_L1_all_to_all_seed27
0,420,german_credit_generated_L1_all_to_all_seed7
1,280,german_credit_generated_L1_all_to_all_seed7
1,375,german_credit_generated_L1_linear_seed17
0,325,german_credit_generated_L1_linear_seed17
1,355,german_credit_generated_L1_linear_seed27
0,345,german_credit_generated_L1_linear_seed27
1,372,german_credit_generated_L1_linear_seed7
0,328,german_credit_generated_L1_linear_seed7
1,458,german_credit_generated_L2_all_to_all_re_upload_seed17
0,242,german_credit_generated_L2_all_to_all_re_upload_seed17
1,437,german_credit_generated_L2_all_to_all_re_upload_seed27
0,263,german_credit_generated_L2_all_to_all_re_upload_seed27
0,437,german_credit_generated_L2_all_to_all_re_upload_seed7
1,263,german_credit_generated_L2_all_to_all_re_upload_seed7
1,350,german_credit_generated_L2_all_to_all_seed17
0,350,german_credit_generated_L2_all_to_all_seed17
1,501,german_credit_generated_L2_all_to_all_seed27
0,199,german_credit_generated_L2_all_to_all_seed27
0,509,german_credit_generated_L2_all_to_all_seed7
1,191,german_credit_generated_L2_all_to_all_seed7
0,506,german_credit_generated_L2_linear_seed17
1,194,german_credit_generated_L2_linear_seed17
1,627,german_credit_generated_L2_linear_seed27
0,73,german_credit_generated_L2_linear_seed27
1,358,german_credit_generated_L2_linear_seed7
0,342,german_credit_generated_L2_linear_seed7
1,419,german_credit_generated_L2_re_upload_seed17
0,281,german_credit_generated_L2_re_upload_seed17
0,350,german_credit_generated_L2_re_upload_seed27
1,350,german_credit_generated_L2_re_upload_seed27
1,351,german_credit_generated_L2_re_upload_seed7
0,349,german_credit_generated_L2_re_upload_seed7
1,625,german_credit_original
0,375,german_credit_original
