target,Frequency,Dataset
0,458,german_credit_generated_L1_all_to_all_seed17
1,242,german_credit_generated_L1_all_to_all_seed17
0,454,german_credit_generated_L1_all_to_all_seed27
1,246,german_credit_generated_L1_all_to_all_seed27
0,460,german_credit_generated_L1_all_to_all_seed7
1,240,german_credit_generated_L1_all_to_all_seed7
0,368,german_credit_generated_L1_linear_seed17
1,332,german_credit_generated_L1_linear_seed17
0,368,german_credit_generated_L1_linear_seed27
1,332,german_credit_generated_L1_linear_seed27
0,359,german_credit_generated_L1_linear_seed7
1,341,german_credit_generated_L1_linear_seed7
0,501,german_credit_generated_L2_all_to_all_re_upload_seed17
1,199,german_credit_generated_L2_all_to_all_re_upload_seed17
0,501,german_credit_generated_L2_all_to_all_re_upload_seed27
1,199,german_credit_generated_L2_all_to_all_re_upload_seed27
0,509,german_credit_generated_L2_all_to_all_re_upload_seed7
1,191,german_credit_generated_L2_all_to_all_re_upload_seed7
1,597,german_credit_generated_L2_all_to_all_seed17
0,103,german_credit_generated_L2_all_to_all_seed17
1,585,german_credit_generated_L2_all_to_all_seed27
0,115,german_credit_generated_L2_all_to_all_seed27
1,593,german_credit_generated_L2_all_to_all_seed7
0,107,german_credit_generated_L2_all_to_all_seed7
0,465,german_credit_generated_L2_linear_seed17
1,235,german_credit_generated_L2_linear_seed17
1,407,german_credit_generated_L2_linear_seed27
0,293,german_credit_generated_L2_linear_seed27
1,377,german_credit_generated_L2_linear_seed7
0,323,german_credit_generated_L2_linear_seed7
1,439,german_credit_generated_L2_re_upload_seed17
0,261,german_credit_generated_L2_re_upload_seed17
1,379,german_credit_generated_L2_re_upload_seed27
0,321,german_credit_generated_L2_re_upload_seed27
0,358,german_credit_generated_L2_re_upload_seed7
1,342,german_credit_generated_L2_re_upload_seed7
1,700,german_credit_original
0,300,german_credit_original
