overall,Frequency,Dataset
1,143,heart_disease_generated_L1_all_to_all_seed17
0,64,heart_disease_generated_L1_all_to_all_seed17
0,140,heart_disease_generated_L1_all_to_all_seed27
1,67,heart_disease_generated_L1_all_to_all_seed27
1,144,heart_disease_generated_L1_all_to_all_seed7
0,63,heart_disease_generated_L1_all_to_all_seed7
0,108,heart_disease_generated_L1_linear_seed17
1,99,heart_disease_generated_L1_linear_seed17
1,116,heart_disease_generated_L1_linear_seed27
0,91,heart_disease_generated_L1_linear_seed27
0,104,heart_disease_generated_L1_linear_seed7
1,103,heart_disease_generated_L1_linear_seed7
0,113,heart_disease_generated_L2_all_to_all_re_upload_seed17
1,94,heart_disease_generated_L2_all_to_all_re_upload_seed17
0,143,heart_disease_generated_L2_all_to_all_re_upload_seed27
1,64,heart_disease_generated_L2_all_to_all_re_upload_seed27
0,136,heart_disease_generated_L2_all_to_all_re_upload_seed7
1,71,heart_disease_generated_L2_all_to_all_re_upload_seed7
0,117,heart_disease_generated_L2_all_to_all_seed17
1,90,heart_disease_generated_L2_all_to_all_seed17
0,124,heart_disease_generated_L2_all_to_all_seed27
1,83,heart_disease_generated_L2_all_to_all_seed27
0,109,heart_disease_generated_L2_all_to_all_seed7
1,98,heart_disease_generated_L2_all_to_all_seed7
1,106,heart_disease_generated_L2_linear_seed17
0,101,heart_disease_generated_L2_linear_seed17
1,118,heart_disease_generated_L2_linear_seed27
0,89,heart_disease_generated_L2_linear_seed27
0,122,heart_disease_generated_L2_linear_seed7
1,85,heart_disease_generated_L2_linear_seed7
1,111,heart_disease_generated_L2_re_upload_seed17
0,96,heart_disease_generated_L2_re_upload_seed17
0,121,heart_disease_generated_L2_re_upload_seed27
1,86,heart_disease_generated_L2_re_upload_seed27
0,105,heart_disease_generated_L2_re_upload_seed7
1,102,heart_disease_generated_L2_re_upload_seed7
0,195,heart_disease_original
1,102,heart_disease_original
