target,Frequency,Dataset
0,145,heart_disease_generated_L1_all_to_all_seed17
1,62,heart_disease_generated_L1_all_to_all_seed17
0,143,heart_disease_generated_L1_all_to_all_seed27
1,64,heart_disease_generated_L1_all_to_all_seed27
0,110,heart_disease_generated_L1_all_to_all_seed7
1,97,heart_disease_generated_L1_all_to_all_seed7
1,114,heart_disease_generated_L1_linear_seed17
0,93,heart_disease_generated_L1_linear_seed17
0,119,heart_disease_generated_L1_linear_seed27
1,88,heart_disease_generated_L1_linear_seed27
0,120,heart_disease_generated_L1_linear_seed7
1,87,heart_disease_generated_L1_linear_seed7
0,136,heart_disease_generated_L2_all_to_all_re_upload_seed17
1,71,heart_disease_generated_L2_all_to_all_re_upload_seed17
1,110,heart_disease_generated_L2_all_to_all_re_upload_seed27
0,97,heart_disease_generated_L2_all_to_all_re_upload_seed27
0,119,heart_disease_generated_L2_all_to_all_re_upload_seed7
1,88,heart_disease_generated_L2_all_to_all_re_upload_seed7
0,117,heart_disease_generated_L2_all_to_all_seed17
1,90,heart_disease_generated_L2_all_to_all_seed17
0,138,heart_disease_generated_L2_all_to_all_seed27
1,69,heart_disease_generated_L2_all_to_all_seed27
0,143,heart_disease_generated_L2_all_to_all_seed7
1,64,heart_disease_generated_L2_all_to_all_seed7
1,117,heart_disease_generated_L2_linear_seed17
0,90,heart_disease_generated_L2_linear_seed17
0,108,heart_disease_generated_L2_linear_seed27
1,99,heart_disease_generated_L2_linear_seed27
0,114,heart_disease_generated_L2_linear_seed7
1,93,heart_disease_generated_L2_linear_seed7
0,120,heart_disease_generated_L2_re_upload_seed17
1,87,heart_disease_generated_L2_re_upload_seed17
1,115,heart_disease_generated_L2_re_upload_seed27
0,92,heart_disease_generated_L2_re_upload_seed27
1,105,heart_disease_generated_L2_re_upload_seed7
0,102,heart_disease_generated_L2_re_upload_seed7
0,160,heart_disease_original
1,137,heart_disease_original
