overall,Frequency,Dataset
0,354,student_performance_generated_L1_all_to_all_seed17
1,100,student_performance_generated_L1_all_to_all_seed17
1,353,student_performance_generated_L1_all_to_all_seed27
0,101,student_performance_generated_L1_all_to_all_seed27
0,351,student_performance_generated_L1_all_to_all_seed7
1,103,student_performance_generated_L1_all_to_all_seed7
1,250,student_performance_generated_L1_linear_seed17
0,204,student_performance_generated_L1_linear_seed17
0,244,student_performance_generated_L1_linear_seed27
1,210,student_performance_generated_L1_linear_seed27
0,239,student_performance_generated_L1_linear_seed7
1,215,student_performance_generated_L1_linear_seed7
0,304,student_performance_generated_L2_all_to_all_re_upload_seed17
1,150,student_performance_generated_L2_all_to_all_re_upload_seed17
0,342,student_performance_generated_L2_all_to_all_re_upload_seed27
1,112,student_performance_generated_L2_all_to_all_re_upload_seed27
0,403,student_performance_generated_L2_all_to_all_re_upload_seed7
1,51,student_performance_generated_L2_all_to_all_re_upload_seed7
1,300,student_performance_generated_L2_all_to_all_seed17
0,154,student_performance_generated_L2_all_to_all_seed17
1,351,student_performance_generated_L2_all_to_all_seed27
0,103,student_performance_generated_L2_all_to_all_seed27
1,382,student_performance_generated_L2_all_to_all_seed7
0,72,student_performance_generated_L2_all_to_all_seed7
1,245,student_performance_generated_L2_linear_seed17
0,209,student_performance_generated_L2_linear_seed17
1,256,student_performance_generated_L2_linear_seed27
0,198,student_performance_generated_L2_linear_seed27
0,286,student_performance_generated_L2_linear_seed7
1,168,student_performance_generated_L2_linear_seed7
1,242,student_performance_generated_L2_re_upload_seed17
0,212,student_performance_generated_L2_re_upload_seed17
1,238,student_performance_generated_L2_re_upload_seed27
0,216,student_performance_generated_L2_re_upload_seed27
0,238,student_performance_generated_L2_re_upload_seed7
1,216,student_performance_generated_L2_re_upload_seed7
0,576,student_performance_original
1,73,student_performance_original
