target,Frequency,Dataset
0,304,student_performance_generated_L1_all_to_all_seed17
1,150,student_performance_generated_L1_all_to_all_seed17
0,305,student_performance_generated_L1_all_to_all_seed27
1,149,student_performance_generated_L1_all_to_all_seed27
1,272,student_performance_generated_L1_all_to_all_seed7
0,182,student_performance_generated_L1_all_to_all_seed7
1,235,student_performance_generated_L1_linear_seed17
0,219,student_performance_generated_L1_linear_seed17
1,239,student_performance_generated_L1_linear_seed27
0,215,student_performance_generated_L1_linear_seed27
1,240,student_performance_generated_L1_linear_seed7
0,214,student_performance_generated_L1_linear_seed7
1,314,student_performance_generated_L2_all_to_all_re_upload_seed17
0,140,student_performance_generated_L2_all_to_all_re_upload_seed17
1,267,student_performance_generated_L2_all_to_all_re_upload_seed27
0,187,student_performance_generated_L2_all_to_all_re_upload_seed27
1,297,student_performance_generated_L2_all_to_all_re_upload_seed7
0,157,student_performance_generated_L2_all_to_all_re_upload_seed7
1,305,student_performance_generated_L2_all_to_all_seed17
0,149,student_performance_generated_L2_all_to_all_seed17
0,232,student_performance_generated_L2_all_to_all_seed27
1,222,student_performance_generated_L2_all_to_all_seed27
1,308,student_performance_generated_L2_all_to_all_seed7
0,146,student_performance_generated_L2_all_to_all_seed7
1,325,student_performance_generated_L2_linear_seed17
0,129,student_performance_generated_L2_linear_seed17
1,234,student_performance_generated_L2_linear_seed27
0,220,student_performance_generated_L2_linear_seed27
0,278,student_performance_generated_L2_linear_seed7
1,176,student_performance_generated_L2_linear_seed7
0,241,student_performance_generated_L2_re_upload_seed17
1,213,student_performance_generated_L2_re_upload_seed17
1,303,student_performance_generated_L2_re_upload_seed27
0,151,student_performance_generated_L2_re_upload_seed27
0,235,student_performance_generated_L2_re_upload_seed7
1,219,student_performance_generated_L2_re_upload_seed7
1,549,student_performance_original
0,100,student_performance_original
