dataset,configuration,model,metric,n,statistic,p_value,note
german_credit,L1_all_to_all,MLP,f1,3,0.7688649364064083,0.042153912665553794,descriptive only; n<8
german_credit,L1_all_to_all,MLP,accuracy,3,0.8078738958269872,0.13343793793296843,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,f1,3,0.9696476892672523,0.6655593191217071,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,accuracy,3,0.9126891734575084,0.42711447771168887,descriptive only; n<8
german_credit,L1_all_to_all,XGBoost_stub,f1,3,0.8306800605195581,0.19006143372977402,descriptive only; n<8
german_credit,L1_all_to_all,XGBoost_stub,accuracy,3,0.8381254667662434,0.20918946453845788,descriptive only; n<8
german_credit,L1_linear,MLP,f1,3,0.770028622319704,0.044792263693117285,descriptive only; n<8
german_credit,L1_linear,MLP,accuracy,3,0.808433485288023,0.13479505498559008,descriptive only; n<8
german_credit,L1_linear,RandomForest,f1,3,0.9393308224788569,0.5246889584371219,descriptive only; n<8
german_credit,L1_linear,RandomForest,accuracy,3,0.9779177881086372,0.7151382556195952,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,f1,3,0.9507218866482766,0.5724749758914287,descriptive only; n<8
german_credit,L1_linear,XGBoost_stub,accuracy,3,0.9999999999999997,0.9999999597527244,descriptive only; n<8
german_credit,L2_all_to_all,MLP,f1,3,0.7695548474773724,0.04371754116873072,descriptive only; n<8
german_credit,L2_all_to_all,MLP,accuracy,3,0.8078738958269872,0.13343793793296843,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,f1,3,0.9707302623926299,0.6716382829283276,descriptive only; n<8
german_credit,L2_all_to_all,RandomForest,accuracy,3,0.9936500470366887,0.847648290856282,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,f1,3,0.8448659584575408,0.22681485857759132,descriptive only; n<8
german_credit,L2_all_to_all,XGBoost_stub,accuracy,3,0.9077244540307358,0.4105295518069819,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,f1,3,0.7846550613182439,0.07836887511686308,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,MLP,accuracy,3,0.8279816513761467,0.18321221815515332,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,f1,3,0.832554172133542,0.19484396343475863,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,RandomForest,accuracy,3,0.9033121445299427,0.39612357366844175,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,f1,3,0.9995371279742503,0.9589072359584776,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,XGBoost_stub,accuracy,3,0.8669369701437518,0.28686918305229303,descriptive only; n<8
german_credit,L2_linear,MLP,f1,3,0.7688671853504908,0.04215900706311171,descriptive only; n<8
german_credit,L2_linear,MLP,accuracy,3,0.808433485288023,0.13479505498559008,descriptive only; n<8
german_credit,L2_linear,RandomForest,f1,3,0.9955066964753202,0.8718820357664824,descriptive only; n<8
german_credit,L2_linear,RandomForest,accuracy,3,0.9915995556789778,0.8247078642309518,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,f1,3,0.8451252123196142,0.22749892362055768,descriptive only; n<8
german_credit,L2_linear,XGBoost_stub,accuracy,3,0.95778364116095,0.6047736254444376,descriptive only; n<8
german_credit,L2_re_upload,MLP,f1,3,0.7736317469542427,0.05299131690925407,descriptive only; n<8
german_credit,L2_re_upload,MLP,accuracy,3,0.8126725897466681,0.14512545328281878,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,f1,3,0.8170511670991164,0.15589063375986822,descriptive only; n<8
german_credit,L2_re_upload,RandomForest,accuracy,3,0.8631542935340402,0.27629693296248603,descriptive only; n<8
german_credit,L2_re_upload,XGBoost_stub,f1,3,0.9246432248322293,0.46890240555216045,descriptive only; n<8
german_credit,L2_re_upload,XGBoost_stub,accuracy,3,0.7825443786982244,0.07347425013239994,descriptive only; n<8
