,,,f1,f1,accuracy,accuracy
,,,mean,std,mean,std
dataset,configuration,model,,,,
heart_disease,L1_all_to_all,MLP,0.21573478476001975,0.3374828223063485,0.5,0.06666666666666668
heart_disease,L1_all_to_all,RandomForest,0.27981703830760435,0.29327060472327254,0.5407407407407407,0.0279623497602621
heart_disease,L1_all_to_all,XGBoost_stub,0.29028640441683917,0.2509370383605942,0.4703703703703703,0.07398142353865991
heart_disease,L1_linear,MLP,0.24236671412751143,0.3196653788857375,0.5074074074074074,0.06789001029564212
heart_disease,L1_linear,RandomForest,0.5588071659063091,0.04083903809929425,0.4703703703703704,0.1316248566216064
heart_disease,L1_linear,XGBoost_stub,0.577689184363876,0.04899193537322707,0.4703703703703703,0.039020939825380505
heart_disease,L2_all_to_all,MLP,0.20155038759689922,0.3490955116030295,0.4962962962962963,0.06697459748157457
heart_disease,L2_all_to_all,RandomForest,0.5493145743145743,0.12819154808188973,0.4962962962962963,0.20497917188180312
heart_disease,L2_all_to_all,XGBoost_stub,0.4564786465259645,0.10528329248579882,0.4222222222222222,0.029397236789606554
heart_disease,L2_all_to_all_re_upload,MLP,0.20155038759689922,0.3490955116030295,0.4962962962962963,0.06697459748157457
heart_disease,L2_all_to_all_re_upload,RandomForest,0.4787649964714185,0.039642756945135006,0.3962962962962962,0.04206598774666875
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,0.5191039426523297,0.08931182623089755,0.4481481481481482,0.07563176983948938
heart_disease,L2_linear,MLP,0.2784734645199761,0.30513526116190665,0.5185185185185185,0.07398142353865994
heart_disease,L2_linear,RandomForest,0.34819971440228475,0.1406693813858788,0.46666666666666673,0.12521586299538495
heart_disease,L2_linear,XGBoost_stub,0.48014057119128956,0.058913926732690296,0.4777777777777778,0.15396007178390023
heart_disease,L2_re_upload,MLP,0.21573478476001975,0.3374828223063485,0.5,0.06666666666666668
heart_disease,L2_re_upload,RandomForest,0.38156262918561384,0.33069941053803614,0.4703703703703703,0.07398142353865997
heart_disease,L2_re_upload,XGBoost_stub,0.46011491958954914,0.23868960668363798,0.4407407407407407,0.07563176983948942
