dataset,configuration,model,metric,n,statistic,p_value,note
heart_disease,L1_all_to_all,MLP,f1,3,0.8025026010541795,0.12048693692942014,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,accuracy,3,1.0,1.0,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,f1,3,0.9944308474562356,0.8573407721807248,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,accuracy,3,0.9868421052631581,0.7804408148790196,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,f1,3,0.9997510187048858,0.9698628095903137,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,accuracy,3,0.9530075187969924,0.5826723400920124,descriptive only; n<8
heart_disease,L1_linear,MLP,f1,3,0.8944551885891304,0.36806334721173173,descriptive only; n<8
heart_disease,L1_linear,MLP,accuracy,3,0.9642857142857142,0.6368868450289689,descriptive only; n<8
heart_disease,L1_linear,RandomForest,f1,3,0.9198242071504928,0.4517168607184433,descriptive only; n<8
heart_disease,L1_linear,RandomForest,accuracy,3,0.7856294536817103,0.08063433211200288,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,f1,3,0.865642299448619,0.283236581408404,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,accuracy,3,0.9932432432432432,0.8428332015350601,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,f1,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,accuracy,3,0.9908256880733948,0.8167877818448491,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,f1,3,0.9991729723270031,0.9450685226942295,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,accuracy,3,0.9520078354554358,0.5781839177278134,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,f1,3,0.8993390658428159,0.38340096637304477,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,accuracy,3,0.8928571428571431,0.3631131549710308,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,f1,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,accuracy,3,0.9908256880733948,0.8167877818448491,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,f1,3,0.9986195268994775,0.9290233782487959,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,accuracy,3,0.8546511627906976,0.2529696489658314,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,f1,3,0.8427443688399561,0.2212342621254214,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,accuracy,3,0.9118705035971221,0.42435092627994253,descriptive only; n<8
heart_disease,L2_linear,MLP,f1,3,0.9816688243987944,0.7406224397726671,descriptive only; n<8
heart_disease,L2_linear,MLP,accuracy,3,0.8120300751879695,0.1435539698500472,descriptive only; n<8
heart_disease,L2_linear,RandomForest,f1,3,0.7988333419263562,0.11171613881279063,descriptive only; n<8
heart_disease,L2_linear,RandomForest,accuracy,3,0.7874015748031498,0.08476413013539175,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,f1,3,0.9495997522394287,0.5675507392583258,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,accuracy,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_re_upload,MLP,f1,3,0.8025026010541795,0.12048693692942014,descriptive only; n<8
heart_disease,L2_re_upload,MLP,accuracy,3,1.0,1.0,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,f1,3,0.7832996582486766,0.07522374274839272,descriptive only; n<8
heart_disease,L2_re_upload,RandomForest,accuracy,3,0.8120300751879695,0.1435539698500472,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,f1,3,0.9367848501849663,0.5146024911590261,descriptive only; n<8
heart_disease,L2_re_upload,XGBoost_stub,accuracy,3,0.9118705035971224,0.4243509262799433,descriptive only; n<8
