,,,f1,f1,accuracy,accuracy
,,,mean,std,mean,std
dataset,configuration,model,,,,
student_performance,L1_all_to_all,MLP,0.1716717739189649,0.23257871449709594,0.22222222222222218,0.12311253046174937
student_performance,L1_all_to_all,RandomForest,0.5364417868765695,0.156109407454512,0.4307692307692308,0.13184574494546097
student_performance,L1_all_to_all,XGBoost_stub,0.7311663319946452,0.14711879699316535,0.6136752136752137,0.1512892943362427
student_performance,L1_linear,MLP,0.6048014773776547,0.5239217554431561,0.6034188034188034,0.3986279338850458
student_performance,L1_linear,RandomForest,0.6038600022055484,0.2669444120988679,0.5008547008547009,0.22612612966581705
student_performance,L1_linear,XGBoost_stub,0.5685337078001234,0.35226768223331384,0.494017094017094,0.31287655375840784
student_performance,L2_all_to_all,MLP,0.5993309051665991,0.5190390986046828,0.5931623931623932,0.3893497785472448
student_performance,L2_all_to_all,RandomForest,0.4156359566699576,0.22447449839353087,0.35213675213675216,0.15128929433624266
student_performance,L2_all_to_all,XGBoost_stub,0.4384680645221839,0.1601199051770014,0.358974358974359,0.09783991809404571
student_performance,L2_all_to_all_re_upload,MLP,0.5494227994227995,0.48714083619289583,0.5435897435897435,0.36762471216456993
student_performance,L2_all_to_all_re_upload,RandomForest,0.6137227841590948,0.29768481208625236,0.5264957264957265,0.23835582621455462
student_performance,L2_all_to_all_re_upload,XGBoost_stub,0.6408321767167524,0.2400282181042653,0.5401709401709401,0.21127541272451802
student_performance,L2_linear,MLP,0.6017338065755198,0.5211783780215588,0.5965811965811966,0.3925115385711123
student_performance,L2_linear,RandomForest,0.3791181740108979,0.2863707547247753,0.30427350427350425,0.2529163667738275
student_performance,L2_linear,XGBoost_stub,0.30611625154161265,0.35533286860410557,0.28205128205128205,0.25060085585375624
student_performance,L2_re_upload,MLP,0.5715927750410509,0.5001056291961173,0.5641025641025641,0.3756913416900998
student_performance,L2_re_upload,RandomForest,0.573731003372312,0.10642818246442247,0.452991452991453,0.1032455991148137
student_performance,L2_re_upload,XGBoost_stub,0.6480730964125798,0.006568342270089479,0.5247863247863248,0.012905699889351748
