dataset,configuration,model,metric,n,statistic,p_value,note
student_performance,L1_all_to_all,MLP,f1,3,0.880029400562345,0.32448969899893987,descriptive only; n<8
student_performance,L1_all_to_all,MLP,accuracy,3,0.8020532099479468,0.11940946515821282,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,f1,3,0.8958248243470616,0.3723323676816821,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,accuracy,3,0.908093797276853,0.4117493058345517,descriptive only; n<8
student_performance,L1_all_to_all,XGBoost_stub,f1,3,0.835817539786385,0.20322311327744946,descriptive only; n<8
student_performance,L1_all_to_all,XGBoost_stub,accuracy,3,0.8689199540405972,0.2924622086476334,descriptive only; n<8
student_performance,L1_linear,MLP,f1,3,0.7703159797608954,0.04544449060810929,descriptive only; n<8
student_performance,L1_linear,MLP,accuracy,3,0.7879406410327138,0.08602287172350354,descriptive only; n<8
student_performance,L1_linear,RandomForest,f1,3,0.9336235613229504,0.5023382719729607,descriptive only; n<8
student_performance,L1_linear,RandomForest,accuracy,3,0.973212755014572,0.6860043306764119,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,f1,3,0.983228147590127,0.751964744016656,descriptive only; n<8
student_performance,L1_linear,XGBoost_stub,accuracy,3,0.9996418017372614,0.9638516027778816,descriptive only; n<8
student_performance,L2_all_to_all,MLP,f1,3,0.7530862008938872,0.0068201662202637126,descriptive only; n<8
student_performance,L2_all_to_all,MLP,accuracy,3,0.7556814896200773,0.012577663685427676,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,f1,3,0.9892760598651836,0.8018665219730635,descriptive only; n<8
student_performance,L2_all_to_all,RandomForest,accuracy,3,0.9999042512447335,0.9813114814102726,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,f1,3,0.7918497412501525,0.09518612419814321,descriptive only; n<8
student_performance,L2_all_to_all,XGBoost_stub,accuracy,3,0.793956043956044,0.10014971996276967,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,f1,3,0.9083674580755124,0.41265449038660695,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,MLP,accuracy,3,0.9671628721541157,0.6519914313438904,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,f1,3,0.7577829932593562,0.017254896986064305,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,RandomForest,accuracy,3,0.7592578305817006,0.020545625862646855,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,f1,3,0.948331518268143,0.5620474508893784,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,XGBoost_stub,accuracy,3,0.9903770620581303,0.8123475571300728,descriptive only; n<8
student_performance,L2_linear,MLP,f1,3,0.7631965097649988,0.029367801100569135,descriptive only; n<8
student_performance,L2_linear,MLP,accuracy,3,0.7777382645803699,0.06239238665604174,descriptive only; n<8
student_performance,L2_linear,RandomForest,f1,3,0.9912656581431339,0.821248078924971,descriptive only; n<8
student_performance,L2_linear,RandomForest,accuracy,3,0.9670755104837605,0.6515236087860656,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,f1,3,0.7767364713398722,0.06009331918322991,descriptive only; n<8
student_performance,L2_linear,XGBoost_stub,accuracy,3,0.8479899497487435,0.23508923424205008,descriptive only; n<8
student_performance,L2_re_upload,MLP,f1,3,0.8618807004312121,0.27276513803173086,descriptive only; n<8
student_performance,L2_re_upload,MLP,accuracy,3,0.9260760201229735,0.47410857268190276,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,f1,3,0.9644586955737617,0.6377780015840492,descriptive only; n<8
student_performance,L2_re_upload,RandomForest,accuracy,3,0.9868421052631581,0.7804408148790196,descriptive only; n<8
student_performance,L2_re_upload,XGBoost_stub,f1,3,0.9672099131478141,0.6522435853190789,descriptive only; n<8
student_performance,L2_re_upload,XGBoost_stub,accuracy,3,0.9868421052631586,0.7804408148790234,descriptive only; n<8
