dataset,configuration,model,attribute,metric,n,statistic,p_value,note
german_credit,L1_all_to_all,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,age,trace_distance_input,3,0.7915817309965419,0.09455587842246937,descriptive only; n<8
german_credit,L1_all_to_all,MLP,age,qsp_diff_output,3,0.7503102245246406,0.0006842845871009029,descriptive only; n<8
german_credit,L1_all_to_all,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,overall,trace_distance_input,3,0.7915817309965419,0.09455587842246937,descriptive only; n<8
german_credit,L1_all_to_all,MLP,overall,qsp_diff_output,3,0.7503102245246406,0.0006842845871009029,descriptive only; n<8
german_credit,L1_all_to_all,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
german_credit,L1_all_to_all,MLP,sex,trace_distance_input,3,0.7915817309965419,0.09455587842246937,descriptive only; n<8
german_credit,L1_all_to_all,MLP,sex,qsp_diff_output,3,0.7503102245246406,0.0006842845871009029,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,age,spd,3,0.8611503480629588,0.27074597181568616,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,age,eod,3,0.9708704889151143,0.6724336145556093,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,age,aod,3,0.9795677463526047,0.7260636558121871,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,age,trace_distance_input,3,0.7915817309965419,0.09455587842246937,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,age,qsp_diff_output,3,0.7503102245246406,0.0006842845871009029,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,overall,spd,3,0.8262163439544088,0.17875447023762459,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,overall,eod,3,0.8010797473172723,0.11707861869827174,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,overall,aod,3,0.82223311383206,0.1687611140525077,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,overall,trace_distance_input,3,0.7915817309965419,0.09455587842246937,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,overall,qsp_diff_output,3,0.7503102245246406,0.0006842845871009029,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,sex,spd,3,0.9247470594272849,0.4692781587588096,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,sex,eod,3,0.8517941073183176,0.24526001015747168,descriptive only; n<8
german_credit,L1_all_to_all,RandomForest,sex,aod,3,0.9557922273211211,0.5954206334190439,descriptive only; n<8
