attribute,dataset,metric,statistic,p_value_raw,n_blocks,n_configurations,unit,p_value_holm,p_value_fdr_bh,significant_raw,significant_holm,significant_fdr_bh
age,heart_disease,spd,5.823045267489714,0.3238199949998922,9,6,seed+model,0.6674493671613915,0.3276919654698867,False,False,False
age,heart_disease,eod,5.785123966942129,0.3276919654698867,9,6,seed+model,0.6674493671613915,0.3276919654698867,False,False,False
age,heart_disease,aod,6.975308641975307,0.22248312238713047,9,6,seed+model,0.6674493671613915,0.3276919654698867,False,False,False
age,heart_disease,trace_distance_input,37.571428571428555,4.600115100580104e-07,9,6,seed+model,2.300057550290052e-06,1.948992905103628e-06,True,True,True
age,heart_disease,qsp_diff_output,36.428571428571416,7.795971620414512e-07,9,6,seed+model,3.118388648165805e-06,1.948992905103628e-06,True,True,True
overall,heart_disease,spd,5.123456790123433,0.4010000481351127,9,6,seed+model,1.0,0.5325089861628652,False,False,False
overall,heart_disease,eod,3.849372384937225,0.5713002054378078,9,6,seed+model,1.0,0.5713002054378078,False,False,False
overall,heart_disease,aod,4.917695473251015,0.4260071889302922,9,6,seed+model,1.0,0.5325089861628652,False,False,False
overall,heart_disease,trace_distance_input,37.571428571428555,4.600115100580104e-07,9,6,seed+model,2.300057550290052e-06,1.948992905103628e-06,True,True,True
overall,heart_disease,qsp_diff_output,36.428571428571416,7.795971620414512e-07,9,6,seed+model,3.118388648165805e-06,1.948992905103628e-06,True,True,True
sex,heart_disease,spd,7.32067510548523,0.19786263723956737,9,6,seed+model,0.5935879117187022,0.32977106206594564,False,False,False
sex,heart_disease,eod,3.9049586776859506,0.5631792453803527,9,6,seed+model,1.0,0.7039740567254408,False,False,False
sex,heart_disease,aod,2.1604938271604817,0.8265214837628552,9,6,seed+model,1.0,0.8265214837628552,False,False,False
sex,heart_disease,trace_distance_input,37.571428571428555,4.600115100580104e-07,9,6,seed+model,2.300057550290052e-06,1.948992905103628e-06,True,True,True
sex,heart_disease,qsp_diff_output,36.428571428571416,7.795971620414512e-07,9,6,seed+model,3.118388648165805e-06,1.948992905103628e-06,True,True,True
