dataset,configuration,model,attribute,metric,n,statistic,p_value,note
heart_disease,L1_all_to_all,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,age,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,age,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,overall,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,overall,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,sex,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,MLP,sex,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,age,spd,3,0.7773829678983594,0.061576575583600746,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,age,eod,3,0.8179951571651483,0.1582245497912791,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,age,aod,3,0.8616828122017499,0.2722176053620827,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,age,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,age,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,overall,spd,3,0.953143660315652,0.583287090743988,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,overall,eod,3,0.9989594573762911,0.9383821329391809,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,overall,aod,3,0.7833734001486883,0.07539467289654989,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,overall,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,overall,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,sex,spd,3,0.9230769230769234,0.4632628749338005,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,sex,eod,3,0.8312565783377566,0.19153038696952684,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,sex,aod,3,0.9982143394066704,0.9192708889822094,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,sex,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,RandomForest,sex,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,age,spd,3,0.9740070657007216,0.690736507287264,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,age,eod,3,0.8990670309566009,0.382538100102474,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,age,aod,3,0.9587877799068424,0.6095696657817766,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,age,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,age,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,overall,spd,3,0.9733801986038735,0.6869961523015229,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,overall,eod,3,0.9427400343783104,0.5385109455185869,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,overall,aod,3,0.9854387776697997,0.7689744868758004,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,overall,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,overall,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,sex,spd,3,0.885730945752765,0.34142245894905676,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,sex,eod,3,0.8443142499595331,0.22536067618308442,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,sex,aod,3,0.9673263032868913,0.6528682238199082,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,sex,trace_distance_input,3,0.7879380201660748,0.08601674906761902,descriptive only; n<8
heart_disease,L1_all_to_all,XGBoost_stub,sex,qsp_diff_output,3,0.9698980179920208,0.6669555247854024,descriptive only; n<8
heart_disease,L1_linear,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,age,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,MLP,age,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,overall,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,MLP,overall,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,MLP,sex,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,MLP,sex,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,RandomForest,age,spd,3,0.9595424478705402,0.6132110746620598,descriptive only; n<8
heart_disease,L1_linear,RandomForest,age,eod,3,0.9408865737756015,0.5309500412483228,descriptive only; n<8
heart_disease,L1_linear,RandomForest,age,aod,3,0.9767115362864753,0.7074015273931034,descriptive only; n<8
heart_disease,L1_linear,RandomForest,age,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,RandomForest,age,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,RandomForest,overall,spd,3,0.997892292872492,0.9122879646808398,descriptive only; n<8
heart_disease,L1_linear,RandomForest,overall,eod,3,0.8715619792589158,0.29997022086073677,descriptive only; n<8
heart_disease,L1_linear,RandomForest,overall,aod,3,0.8446687592141494,0.2262948427521152,descriptive only; n<8
heart_disease,L1_linear,RandomForest,overall,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,RandomForest,overall,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,RandomForest,sex,spd,3,0.968789468208173,0.6608144341582666,descriptive only; n<8
heart_disease,L1_linear,RandomForest,sex,eod,3,0.9999016850254016,0.9810626881971051,descriptive only; n<8
heart_disease,L1_linear,RandomForest,sex,aod,3,0.9736940907083973,0.6888636455294219,descriptive only; n<8
heart_disease,L1_linear,RandomForest,sex,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,RandomForest,sex,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,age,spd,3,0.9279320513435977,0.48092214375465014,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,age,eod,3,0.8644372497562758,0.279868703042478,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,age,aod,3,0.9316835701237941,0.4949462297280146,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,age,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,age,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,overall,spd,3,0.9423076923076921,0.5367371250661996,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,overall,eod,3,0.9879344104117821,0.7897902391588282,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,overall,aod,3,0.8672732854115721,0.2878152634766843,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,overall,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,overall,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,sex,spd,3,0.9993615467193936,0.9517372390578496,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,sex,eod,3,0.9535471662856599,0.5851141389962631,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,sex,aod,3,0.96814493851752,0.6572923789481862,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,sex,trace_distance_input,3,0.8707722554083744,0.2977191819202254,descriptive only; n<8
heart_disease,L1_linear,XGBoost_stub,sex,qsp_diff_output,3,0.948694978043189,0.5636180268347735,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,age,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,age,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,age,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,age,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,age,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,overall,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,overall,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,overall,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,overall,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,overall,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,sex,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,sex,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,sex,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,sex,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,MLP,sex,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,age,spd,3,0.8209686633460531,0.16560722049945853,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,age,eod,3,0.8777320208332113,0.3177655539905415,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,age,aod,3,0.9262463137532261,0.4747304205625449,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,age,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,age,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,overall,spd,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,overall,eod,3,0.9683810718589233,0.6585787014310706,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,overall,aod,3,0.999950359942029,0.9865438409797546,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,overall,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,overall,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,sex,spd,3,0.9916560803787965,0.8253002663202138,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,sex,eod,3,0.7888660988127603,0.08818658452861017,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,sex,aod,3,0.7722136296195211,0.049758886980543204,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,sex,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,RandomForest,sex,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,age,spd,3,0.9190301870164955,0.4489310523470982,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,age,eod,3,0.9964008762290956,0.8853535460525809,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,age,aod,3,0.9986155537313661,0.9289212648803605,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,age,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,age,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,overall,spd,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,overall,eod,3,0.7684006734472494,0.041102616411172965,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,overall,aod,3,0.8373531895687458,0.2071892168083983,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,overall,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,overall,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,sex,spd,3,0.7705269948981426,0.04592362262270833,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,sex,eod,3,0.9756695706748464,0.7008746056227921,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,sex,aod,3,0.9776082810534124,0.713133829937775,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,sex,trace_distance_input,3,0.9873663103327871,0.7848778137817254,descriptive only; n<8
heart_disease,L2_all_to_all,XGBoost_stub,sex,qsp_diff_output,3,0.9325126428029132,0.49809321105600757,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,age,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,age,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,age,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,age,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,age,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,overall,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,overall,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,overall,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,overall,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,overall,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,sex,spd,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,sex,eod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,sex,aod,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,sex,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,MLP,sex,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,age,spd,3,0.9038063017807627,0.3977221310400815,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,age,eod,3,0.9005952684546372,0.3873990186219207,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,age,aod,3,0.9276997381508939,0.48006492098834597,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,age,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,age,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,spd,3,0.9608460577512193,0.6195787478286703,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,eod,3,0.9902300249800953,0.810914674382475,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,aod,3,0.9871584876914843,0.7831080809573729,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,overall,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,spd,3,0.9950609944484073,0.8656680617406037,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,eod,3,0.9865366863937267,0.7778958299470666,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,aod,3,0.8491204727831113,0.238100743957532,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,RandomForest,sex,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,spd,3,0.9883450688093741,0.7934127687368976,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,eod,3,0.8759972983766909,0.31272421111438253,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,aod,3,0.9438368490628336,0.5430394153932132,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,age,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,spd,3,0.8391445387618732,0.21183482940449627,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,eod,3,0.7716463586710282,0.04846784919104141,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,aod,3,0.947771023796603,0.559635653244306,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,overall,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,spd,3,0.9588232094591767,0.6097399020747338,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,eod,3,0.9981714327464681,0.9183061635361675,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,aod,3,0.9994905061720405,0.9568870513707973,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,trace_distance_input,3,0.8734746499711943,0.30544672270731277,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,XGBoost_stub,sex,qsp_diff_output,3,0.7577943517603307,0.01728021450375805,descriptive only; n<8
heart_disease,L2_linear,MLP,age,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,age,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,age,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,age,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,MLP,age,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,MLP,overall,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,overall,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,overall,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,overall,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,MLP,overall,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,MLP,sex,spd,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,sex,eod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,sex,aod,3,0.75,0.0,descriptive only; n<8
heart_disease,L2_linear,MLP,sex,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,MLP,sex,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,RandomForest,age,spd,3,0.9493032652084678,0.5662583687426168,descriptive only; n<8
heart_disease,L2_linear,RandomForest,age,eod,3,0.9715982929396129,0.6765917204584847,descriptive only; n<8
heart_disease,L2_linear,RandomForest,age,aod,3,0.7776768750078699,0.06225139432460325,descriptive only; n<8
heart_disease,L2_linear,RandomForest,age,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,RandomForest,age,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,RandomForest,overall,spd,3,0.8884684082813813,0.3496827089927941,descriptive only; n<8
heart_disease,L2_linear,RandomForest,overall,eod,3,0.8520059076677654,0.2458294216789384,descriptive only; n<8
heart_disease,L2_linear,RandomForest,overall,aod,3,0.8582806097057634,0.26285488815922964,descriptive only; n<8
heart_disease,L2_linear,RandomForest,overall,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,RandomForest,overall,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,RandomForest,sex,spd,3,0.9976815744729939,0.9080046430729438,descriptive only; n<8
heart_disease,L2_linear,RandomForest,sex,eod,3,0.8410741034457097,0.2168623405989376,descriptive only; n<8
heart_disease,L2_linear,RandomForest,sex,aod,3,0.9996024462751234,0.9619172702130534,descriptive only; n<8
heart_disease,L2_linear,RandomForest,sex,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,RandomForest,sex,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,age,spd,3,0.8629344055694983,0.2756861789355668,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,age,eod,3,0.8750959665687567,0.3101167744314973,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,age,aod,3,0.9372121854769454,0.5162820526437439,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,age,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,age,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,overall,spd,3,0.8054244918881197,0.1275152560929418,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,overall,eod,3,0.9725917538261164,0.682352003882641,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,overall,aod,3,0.8333968413125818,0.19700132336353804,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,overall,trace_distance_input,3,0.9138071420901824,0.4309073601051203,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,overall,qsp_diff_output,3,0.8215994381418079,0.16717945570075932,descriptive only; n<8
heart_disease,L2_linear,XGBoost_stub,sex,spd,3,0.9809814729655907,0.7357736501100467,descriptive only; n<8
