dataset,configuration,model,attribute,metric,n,statistic,p_value,note
student_performance,L1_all_to_all,MLP,age,spd,3,0.9991912068554988,0.9456776351411054,descriptive only; n<8
student_performance,L1_all_to_all,MLP,age,eod,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
student_performance,L1_all_to_all,MLP,age,aod,3,0.910735415430949,0.42053836245663645,descriptive only; n<8
student_performance,L1_all_to_all,MLP,age,trace_distance_input,3,0.9817609373597687,0.7412789641873874,descriptive only; n<8
student_performance,L1_all_to_all,MLP,age,qsp_diff_output,3,0.8169564881880037,0.1556568084108394,descriptive only; n<8
student_performance,L1_all_to_all,MLP,overall,spd,3,0.7862012544314136,0.08196550830388827,descriptive only; n<8
student_performance,L1_all_to_all,MLP,overall,eod,3,0.869040260490115,0.2928026848526093,descriptive only; n<8
student_performance,L1_all_to_all,MLP,overall,aod,3,0.971854002935237,0.6780649002103899,descriptive only; n<8
student_performance,L1_all_to_all,MLP,overall,trace_distance_input,3,0.9817609373597687,0.7412789641873874,descriptive only; n<8
student_performance,L1_all_to_all,MLP,overall,qsp_diff_output,3,0.8169564881880037,0.1556568084108394,descriptive only; n<8
student_performance,L1_all_to_all,MLP,sex,spd,3,0.9976236611017679,0.9068618255282076,descriptive only; n<8
student_performance,L1_all_to_all,MLP,sex,eod,3,0.9007930597959639,0.388030561218179,descriptive only; n<8
student_performance,L1_all_to_all,MLP,sex,aod,3,0.8051917105109712,0.12695386611114534,descriptive only; n<8
student_performance,L1_all_to_all,MLP,sex,trace_distance_input,3,0.9817609373597687,0.7412789641873874,descriptive only; n<8
student_performance,L1_all_to_all,MLP,sex,qsp_diff_output,3,0.8169564881880037,0.1556568084108394,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,age,spd,3,0.8938778685546819,0.366271224831793,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,age,eod,3,0.9999532368445461,0.9869395943286914,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,age,aod,3,0.8252425050189741,0.17630299231620672,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,age,trace_distance_input,3,0.9817609373597687,0.7412789641873874,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,age,qsp_diff_output,3,0.8169564881880037,0.1556568084108394,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,overall,spd,3,0.9801170406345301,0.729796061222943,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,overall,eod,3,0.9383481595423534,0.5207729095569407,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,overall,aod,3,0.999899732099237,0.9808755216973665,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,overall,trace_distance_input,3,0.9817609373597687,0.7412789641873874,descriptive only; n<8
student_performance,L1_all_to_all,RandomForest,overall,qsp_diff_output,3,0.8169564881880037,0.1556568084108394,descriptive only; n<8
