dataset,configuration,gate_group,metric,n,statistic,p_value,note
german_credit,L1_all_to_all,entangling_CNOT,svqx_value,3,0.9711181480672634,0.6738428282440281,descriptive only; n<8
german_credit,L1_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_all_to_all,qubit_6_rot,svqx_value,3,0.9711181480672634,0.6738428282440281,descriptive only; n<8
german_credit,L1_all_to_all,qubit_7_rot,svqx_value,3,0.761071163480851,0.02460107618240026,descriptive only; n<8
german_credit,L1_all_to_all,qubit_8_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_linear,entangling_CNOT,svqx_value,3,0.9445375360167464,0.5459541665866653,descriptive only; n<8
german_credit,L1_linear,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_linear,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L1_linear,qubit_2_rot,svqx_value,3,0.9697696563655642,0.666238889591315,descriptive only; n<8
german_credit,L1_linear,qubit_3_rot,svqx_value,3,0.9709694943093173,0.672996268552372,descriptive only; n<8
german_credit,L1_linear,qubit_4_rot,svqx_value,3,0.9207641039207954,0.4550308028161204,descriptive only; n<8
german_credit,L1_linear,qubit_5_rot,svqx_value,3,0.7500000000000003,7.771561172376096e-16,descriptive only; n<8
german_credit,L1_linear,qubit_6_rot,svqx_value,3,0.8591508477032304,0.26524071148134565,descriptive only; n<8
german_credit,L1_linear,qubit_7_rot,svqx_value,3,0.7791511122317826,0.06564110637834808,descriptive only; n<8
german_credit,L1_linear,qubit_8_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,entangling_CNOT,svqx_value,3,0.8207351349057543,0.16502568976358445,descriptive only; n<8
german_credit,L2_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all,qubit_5_rot,svqx_value,3,0.7500000000000001,3.3306690738754696e-16,descriptive only; n<8
german_credit,L2_all_to_all,qubit_6_rot,svqx_value,3,0.8191901622962403,0.1611858356448893,descriptive only; n<8
german_credit,L2_all_to_all,qubit_7_rot,svqx_value,3,0.9365814229818311,0.5138048188838631,descriptive only; n<8
german_credit,L2_all_to_all,qubit_8_rot,svqx_value,3,0.9849246231155779,0.7649107657579488,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,entangling_CNOT,svqx_value,3,0.9531338893064929,0.5832429412312605,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_5_rot,svqx_value,3,0.7500000000000003,7.771561172376096e-16,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_6_rot,svqx_value,3,0.8513756582330247,0.2441360237426038,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_7_rot,svqx_value,3,0.9833498609041142,0.7528714540589008,descriptive only; n<8
german_credit,L2_all_to_all_re_upload,qubit_8_rot,svqx_value,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
german_credit,L2_linear,entangling_CNOT,svqx_value,3,0.9668818785724453,0.6504888402878446,descriptive only; n<8
german_credit,L2_linear,qubit_0_rot,svqx_value,3,0.9991806606452761,0.9453245194209936,descriptive only; n<8
german_credit,L2_linear,qubit_1_rot,svqx_value,3,0.7669071491878818,0.03772559553195687,descriptive only; n<8
german_credit,L2_linear,qubit_2_rot,svqx_value,3,0.9466804158925227,0.5549775648917761,descriptive only; n<8
german_credit,L2_linear,qubit_3_rot,svqx_value,3,0.9221536543352054,0.4599632585989277,descriptive only; n<8
german_credit,L2_linear,qubit_4_rot,svqx_value,3,0.924893202389456,0.4698074197877635,descriptive only; n<8
german_credit,L2_linear,qubit_5_rot,svqx_value,3,0.89966974502046,0.3844512418119145,descriptive only; n<8
german_credit,L2_linear,qubit_6_rot,svqx_value,3,0.7510436208992632,0.0023031191694030673,descriptive only; n<8
