,,,svqx_value,svqx_value
,,,mean,std
dataset,configuration,gate_group,,
heart_disease,L1_all_to_all,entangling_CNOT,0.009259259259259233,0.07556850059729174
heart_disease,L1_all_to_all,qubit_0_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_1_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_2_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_3_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_4_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_5_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_6_rot,0.0,0.0
heart_disease,L1_all_to_all,qubit_7_rot,0.009259259259259233,0.07556850059729174
heart_disease,L1_all_to_all,qubit_8_rot,-0.07605820105820023,0.11671547228077153
heart_disease,L1_all_to_all,qubit_9_rot,0.0,0.0
heart_disease,L1_linear,entangling_CNOT,-0.0822373393801965,0.006111240825607492
heart_disease,L1_linear,qubit_0_rot,-0.0246315192743764,0.042663042850832014
heart_disease,L1_linear,qubit_1_rot,-0.03613945578231286,0.03795461548719694
heart_disease,L1_linear,qubit_2_rot,3.9503967410604116e-18,5.121236877519422e-18
heart_disease,L1_linear,qubit_3_rot,-0.05141723356009073,0.05960710482323854
heart_disease,L1_linear,qubit_4_rot,4.4056469231157e-19,7.630804311045888e-19
heart_disease,L1_linear,qubit_5_rot,-0.02059712773998487,0.03658770445945151
heart_disease,L1_linear,qubit_6_rot,-0.006481481481481463,0.011226255234242699
heart_disease,L1_linear,qubit_7_rot,-0.014446334089191234,0.015538525313224829
heart_disease,L1_linear,qubit_8_rot,-0.1430177626606194,0.10481170444161902
heart_disease,L1_linear,qubit_9_rot,0.0,0.0
heart_disease,L2_all_to_all,entangling_CNOT,-0.05165343915343906,0.050721649323405234
heart_disease,L2_all_to_all,qubit_0_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_1_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_2_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_3_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_4_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_5_rot,0.0,0.0
heart_disease,L2_all_to_all,qubit_6_rot,-0.026851851851851866,0.04650877168471988
heart_disease,L2_all_to_all,qubit_7_rot,-0.0311507936507936,0.04889051545943905
heart_disease,L2_all_to_all,qubit_8_rot,-0.16276455026454945,0.139437738302877
heart_disease,L2_all_to_all,qubit_9_rot,0.03035714285714287,0.05622716215649098
heart_disease,L2_all_to_all_re_upload,entangling_CNOT,-0.21339285714285702,0.16573586810401178
heart_disease,L2_all_to_all_re_upload,qubit_0_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_1_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_2_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_3_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_4_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_5_rot,0.0,0.0
heart_disease,L2_all_to_all_re_upload,qubit_6_rot,-0.051686507936507926,0.07821230005210605
heart_disease,L2_all_to_all_re_upload,qubit_7_rot,-0.005059523809524,0.1344655241410961
heart_disease,L2_all_to_all_re_upload,qubit_8_rot,-0.10426587301587302,0.06929497803940403
heart_disease,L2_all_to_all_re_upload,qubit_9_rot,-0.08789682539682535,0.08251368447398526
heart_disease,L2_linear,entangling_CNOT,-0.03912881650976887,0.0603402620345151
heart_disease,L2_linear,qubit_0_rot,-0.013143051833528,0.02130365125752756
heart_disease,L2_linear,qubit_1_rot,0.0022221220137887015,0.0426746440800946
heart_disease,L2_linear,qubit_2_rot,-0.009263768638768634,0.005288869985627475
heart_disease,L2_linear,qubit_3_rot,0.0022260587736778335,0.020324475432173618
heart_disease,L2_linear,qubit_4_rot,-0.002028003962527801,0.019814749292181
heart_disease,L2_linear,qubit_5_rot,-0.016382217870313066,0.029585106449509346
heart_disease,L2_linear,qubit_6_rot,-0.028689316635745168,0.015560606481959085
heart_disease,L2_linear,qubit_7_rot,0.011343594676927998,0.037708592089186435
heart_disease,L2_linear,qubit_8_rot,-0.10090445269016647,0.10543031844581675
heart_disease,L2_linear,qubit_9_rot,-0.0126013536727822,0.017117248845253334
heart_disease,L2_re_upload,entangling_CNOT,-0.18963401016972456,0.045400142452022535
heart_disease,L2_re_upload,qubit_0_rot,-0.00024908953480380056,0.048305086712779166
heart_disease,L2_re_upload,qubit_1_rot,-0.007898213999404468,0.02201039265019166
heart_disease,L2_re_upload,qubit_2_rot,-0.008584784924070601,0.009025528055733438
heart_disease,L2_re_upload,qubit_3_rot,0.0067402339723768,0.02311154075894669
heart_disease,L2_re_upload,qubit_4_rot,0.002406648686410534,0.04020297185170771
heart_disease,L2_re_upload,qubit_5_rot,0.015626288394145534,0.03850242191214876
heart_disease,L2_re_upload,qubit_6_rot,0.04597791978744357,0.002361305484104499
heart_disease,L2_re_upload,qubit_7_rot,0.03904843503057783,0.023870072165458597
heart_disease,L2_re_upload,qubit_8_rot,0.0146649316292173,0.026352713961239796
heart_disease,L2_re_upload,qubit_9_rot,-0.017304708078517632,0.032863873700226316
