dataset,configuration,gate_group,metric,n,statistic,p_value,note
heart_disease,L1_all_to_all,entangling_CNOT,svqx_value,3,0.9565548342620788,0.5989780893398579,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_6_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_7_rot,svqx_value,3,0.9565548342620788,0.5989780893398579,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_8_rot,svqx_value,3,0.9721606781620278,0.6798402945195394,descriptive only; n<8
heart_disease,L1_all_to_all,qubit_9_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L1_linear,entangling_CNOT,svqx_value,3,0.9668425883432693,0.6502792302639848,descriptive only; n<8
heart_disease,L1_linear,qubit_0_rot,svqx_value,3,0.75,0.0,descriptive only; n<8
heart_disease,L1_linear,qubit_1_rot,svqx_value,3,0.9939766595557783,0.8516262637341285,descriptive only; n<8
heart_disease,L1_linear,qubit_2_rot,svqx_value,3,0.9036374176678094,0.39717539339438457,descriptive only; n<8
heart_disease,L1_linear,qubit_3_rot,svqx_value,3,0.9591143376000686,0.6111414138528889,descriptive only; n<8
heart_disease,L1_linear,qubit_4_rot,svqx_value,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L1_linear,qubit_5_rot,svqx_value,3,0.945278921874987,0.5490571529559274,descriptive only; n<8
heart_disease,L1_linear,qubit_6_rot,svqx_value,3,0.7500000000000003,7.771561172376096e-16,descriptive only; n<8
heart_disease,L1_linear,qubit_7_rot,svqx_value,3,0.9224014965055296,0.4608472391746957,descriptive only; n<8
heart_disease,L1_linear,qubit_8_rot,svqx_value,3,0.999861038040777,0.9774856506371317,descriptive only; n<8
heart_disease,L1_linear,qubit_9_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,entangling_CNOT,svqx_value,3,0.9989275749677379,0.9374449314631353,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_6_rot,svqx_value,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_7_rot,svqx_value,3,0.8007683185928146,0.11633384385465584,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_8_rot,svqx_value,3,0.8806591812726573,0.3263426677563728,descriptive only; n<8
heart_disease,L2_all_to_all,qubit_9_rot,svqx_value,3,0.7813795808584552,0.0707804625274372,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,entangling_CNOT,svqx_value,3,0.9772441447629369,0.710792866549914,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_6_rot,svqx_value,3,0.8202103474739479,0.16371994698145909,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_7_rot,svqx_value,3,0.8559573206876119,0.2565151683360438,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_8_rot,svqx_value,3,0.9971576759658367,0.8981305126972496,descriptive only; n<8
heart_disease,L2_all_to_all_re_upload,qubit_9_rot,svqx_value,3,0.9838635535742162,0.756734626513463,descriptive only; n<8
heart_disease,L2_linear,entangling_CNOT,svqx_value,3,0.859097913555382,0.26509541290177174,descriptive only; n<8
heart_disease,L2_linear,qubit_0_rot,svqx_value,3,0.9792490076420423,0.7239203595588084,descriptive only; n<8
heart_disease,L2_linear,qubit_1_rot,svqx_value,3,0.9288189217486184,0.48420642890152277,descriptive only; n<8
heart_disease,L2_linear,qubit_2_rot,svqx_value,3,0.9914874803511231,0.8235390835710806,descriptive only; n<8
heart_disease,L2_linear,qubit_3_rot,svqx_value,3,0.9752367800030503,0.6982037368471845,descriptive only; n<8
heart_disease,L2_linear,qubit_4_rot,svqx_value,3,0.85453756237449,0.25266191128392534,descriptive only; n<8
heart_disease,L2_linear,qubit_5_rot,svqx_value,3,0.8029475671253558,0.12155471006579499,descriptive only; n<8
heart_disease,L2_linear,qubit_6_rot,svqx_value,3,0.9885619438393691,0.7953513432629729,descriptive only; n<8
heart_disease,L2_linear,qubit_7_rot,svqx_value,3,0.9823808117717734,0.7457400456658938,descriptive only; n<8
heart_disease,L2_linear,qubit_8_rot,svqx_value,3,0.8437581772802761,0.22389711570989224,descriptive only; n<8
heart_disease,L2_linear,qubit_9_rot,svqx_value,3,0.878078565394619,0.31877633789763415,descriptive only; n<8
heart_disease,L2_re_upload,entangling_CNOT,svqx_value,3,0.8071676022889919,0.13172718231884395,descriptive only; n<8
heart_disease,L2_re_upload,qubit_0_rot,svqx_value,3,0.8904111388249045,0.35559873569377043,descriptive only; n<8
heart_disease,L2_re_upload,qubit_1_rot,svqx_value,3,0.9675458585542135,0.6540494589998728,descriptive only; n<8
heart_disease,L2_re_upload,qubit_2_rot,svqx_value,3,0.8684519590266484,0.2911390077722571,descriptive only; n<8
heart_disease,L2_re_upload,qubit_3_rot,svqx_value,3,0.9028081653743014,0.3944969960187865,descriptive only; n<8
heart_disease,L2_re_upload,qubit_4_rot,svqx_value,3,0.9377275436549604,0.5183146815453012,descriptive only; n<8
heart_disease,L2_re_upload,qubit_5_rot,svqx_value,3,0.7716517827143915,0.0484801882836714,descriptive only; n<8
heart_disease,L2_re_upload,qubit_6_rot,svqx_value,3,0.7506691151846052,0.001476269554320342,descriptive only; n<8
heart_disease,L2_re_upload,qubit_7_rot,svqx_value,3,0.8000194764881776,0.11454479163695575,descriptive only; n<8
heart_disease,L2_re_upload,qubit_8_rot,svqx_value,3,0.9171217221721536,0.4422857073731007,descriptive only; n<8
heart_disease,L2_re_upload,qubit_9_rot,svqx_value,3,0.7609494266498575,0.024328487064164017,descriptive only; n<8
