dataset,configuration,gate_group,metric,n,statistic,p_value,note
student_performance,L1_all_to_all,entangling_CNOT,svqx_value,3,0.8500112583029977,0.24048017565249735,descriptive only; n<8
student_performance,L1_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_6_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_all_to_all,qubit_7_rot,svqx_value,3,0.8500112583029977,0.24048017565249735,descriptive only; n<8
student_performance,L1_all_to_all,qubit_8_rot,svqx_value,3,0.8661168340070435,0.2845663104832834,descriptive only; n<8
student_performance,L1_all_to_all,qubit_9_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L1_linear,entangling_CNOT,svqx_value,3,0.804161228792291,0.12447173865315886,descriptive only; n<8
student_performance,L1_linear,qubit_0_rot,svqx_value,3,0.7500000000000002,7.771561172376096e-16,descriptive only; n<8
student_performance,L1_linear,qubit_1_rot,svqx_value,3,0.7730544035130542,0.051674470571342224,descriptive only; n<8
student_performance,L1_linear,qubit_2_rot,svqx_value,3,0.75,0.0,descriptive only; n<8
student_performance,L1_linear,qubit_3_rot,svqx_value,3,0.7500000000000001,3.3306690738754696e-16,descriptive only; n<8
student_performance,L1_linear,qubit_4_rot,svqx_value,3,0.75,0.0,descriptive only; n<8
student_performance,L1_linear,qubit_5_rot,svqx_value,3,0.8238428961150367,0.17278911525496665,descriptive only; n<8
student_performance,L1_linear,qubit_6_rot,svqx_value,3,0.9762149732768023,0.7042736441136632,descriptive only; n<8
student_performance,L1_linear,qubit_7_rot,svqx_value,3,0.7874015748031491,0.08476413013538997,descriptive only; n<8
student_performance,L1_linear,qubit_8_rot,svqx_value,3,0.8734981647754265,0.3055142712649572,descriptive only; n<8
student_performance,L1_linear,qubit_9_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,entangling_CNOT,svqx_value,3,0.9490938001807135,0.5653474776157144,descriptive only; n<8
student_performance,L2_all_to_all,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all,qubit_6_rot,svqx_value,3,0.9982060700730992,0.9190840663430353,descriptive only; n<8
student_performance,L2_all_to_all,qubit_7_rot,svqx_value,3,0.9949371931343675,0.8639920802066211,descriptive only; n<8
student_performance,L2_all_to_all,qubit_8_rot,svqx_value,3,0.9595844262856081,0.6134145789062375,descriptive only; n<8
student_performance,L2_all_to_all,qubit_9_rot,svqx_value,3,0.7583465571308818,0.01851153988298193,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,entangling_CNOT,svqx_value,3,0.8480635309001823,0.2352849607292936,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_0_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_1_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_2_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_3_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_4_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_5_rot,svqx_value,3,,,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_6_rot,svqx_value,3,0.8815127218927806,0.32886075344274135,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_7_rot,svqx_value,3,0.9943609022556393,0.8564460301499559,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_8_rot,svqx_value,3,0.9862723124180647,0.7757157619174859,descriptive only; n<8
student_performance,L2_all_to_all_re_upload,qubit_9_rot,svqx_value,3,0.9809599294761103,0.7356230767861799,descriptive only; n<8
student_performance,L2_linear,entangling_CNOT,svqx_value,3,0.7571716074455821,0.01589274424773357,descriptive only; n<8
student_performance,L2_linear,qubit_0_rot,svqx_value,3,0.9999402511592673,0.9852371419379513,descriptive only; n<8
student_performance,L2_linear,qubit_1_rot,svqx_value,3,0.9438071181449545,0.5429161186916807,descriptive only; n<8
student_performance,L2_linear,qubit_2_rot,svqx_value,3,0.877217899287401,0.31626825815864223,descriptive only; n<8
student_performance,L2_linear,qubit_3_rot,svqx_value,3,0.8657516466685159,0.28354281532307757,descriptive only; n<8
student_performance,L2_linear,qubit_4_rot,svqx_value,3,0.9986000248412885,0.9285235576153958,descriptive only; n<8
student_performance,L2_linear,qubit_5_rot,svqx_value,3,0.9907174104877156,0.8157064458985646,descriptive only; n<8
student_performance,L2_linear,qubit_6_rot,svqx_value,3,0.9919535472005653,0.8284511703993322,descriptive only; n<8
student_performance,L2_linear,qubit_7_rot,svqx_value,3,0.8031517844311117,0.1220450693266707,descriptive only; n<8
